,detected,gfsk_gain_mu,gfsk_omega_limit,processed,rf_gain,sensivity',sqlch_thrsh
0,211,0.8999999999999999,0.11499999999999998,34,70,1.0999999999999999,-30
1,275,0.1,0.075,52,70,1.0999999999999999,-70
2,405,0.30000000000000004,0.015,104,40,0.9999999999999999,-50
3,331,0.4,0.09499999999999999,84,70,0.7,-110
4,212,0.6,0.065,72,50,1.0999999999999999,-30
5,286,0.1,0.075,77,40,1.0999999999999999,-90
6,265,0.7999999999999999,0.08499999999999999,70,70,1.0999999999999999,-70
7,171,0.6,0.075,61,40,0.7,-90
8,167,0.2,0.025,43,50,0.8999999999999999,-70
9,310,0.2,0.035,69,40,0.7999999999999999,-50
10,150,0.2,0.08499999999999999,45,70,0.8999999999999999,-50
11,174,0.5,0.08499999999999999,41,60,0.7,-110
12,208,0.4,0.09499999999999999,62,30,0.9999999999999999,-110
13,315,0.6,0.065,69,40,0.9999999999999999,-130
14,254,0.7,0.10499999999999998,56,50,0.9999999999999999,-130
15,305,0.4,0.08499999999999999,63,60,0.8999999999999999,-150
16,213,0.30000000000000004,0.065,83,50,0.9999999999999999,-30
17,355,0.8999999999999999,0.025,110,70,0.9999999999999999,-150
18,193,0.1,0.045000000000000005,47,30,0.8999999999999999,-110
19,343,0.2,0.065,103,70,1.0999999999999999,-110
20,277,0.1,0.05500000000000001,71,40,0.7999999999999999,-70
21,362,0.5,0.05500000000000001,81,40,0.7,-150
22,249,0.8999999999999999,0.045000000000000005,48,70,0.8999999999999999,-110
23,283,0.4,0.075,64,50,0.9999999999999999,-150
24,243,0.2,0.015,72,40,0.7999999999999999,-70
25,232,0.30000000000000004,0.10499999999999998,68,50,0.9999999999999999,-70
26,370,0.4,0.11499999999999998,90,40,0.7,-50
27,298,0.4,0.015,78,40,0.9999999999999999,-110
28,209,0.2,0.035,45,70,1.0999999999999999,-130
29,234,0.1,0.025,70,40,0.7,-90
30,265,0.2,0.05500000000000001,85,60,1.0999999999999999,-110
31,202,0.5,0.10499999999999998,48,70,0.8999999999999999,-130
32,228,0.6,0.10499999999999998,51,30,0.7999999999999999,-110
33,363,0.8999999999999999,0.065,99,70,1.0999999999999999,-90
34,280,0.6,0.09499999999999999,93,40,0.7,-130
35,359,0.6,0.09499999999999999,73,70,1.0999999999999999,-30
36,242,0.6,0.11499999999999998,54,50,0.7999999999999999,-110
37,242,0.2,0.10499999999999998,42,40,0.9999999999999999,-70
38,191,0.8999999999999999,0.045000000000000005,49,40,0.9999999999999999,-110
39,245,0.5,0.035,56,60,0.7999999999999999,-50
40,219,0.30000000000000004,0.08499999999999999,56,40,1.0999999999999999,-110
41,0,0.5,0.065,0,40,1.0999999999999999,-30
42,342,0.7,0.08499999999999999,81,70,0.8999999999999999,-90
43,355,0.4,0.11499999999999998,100,70,0.7999999999999999,-130
44,205,0.7,0.08499999999999999,40,30,0.7999999999999999,-150
45,279,0.4,0.025,80,70,1.0999999999999999,-50
46,0,0.7,0.035,0,40,1.0999999999999999,-30
47,190,0.4,0.05500000000000001,54,30,0.7,-150
48,279,0.1,0.05500000000000001,63,60,0.7,-70
49,290,0.8999999999999999,0.075,64,60,0.7,-50
50,276,0.6,0.045000000000000005,65,60,0.9999999999999999,-110
51,255,0.7999999999999999,0.015,59,50,1.0999999999999999,-150
