,cutoff_freq,detected,gfsk_gain_mu,gfsk_omega_limit,processed,sensivity'
0,1000.0,1233,0.8,0.105,397,1.0
1,400.0,1094,0.1,0.065,305,1.0
2,1000.0,1168,0.1,0.015,402,0.7
3,1000.0,1274,0.2,0.105,411,1.0
4,400.0,921,0.2,0.095,243,0.7
5,1000.0,1242,0.5,0.075,432,0.8
6,600.0,1315,0.4,0.055,440,0.7
7,200.0,2,0.6,0.055,0,0.7
8,400.0,836,0.8,0.095,210,0.9
9,800.0,1444,0.6,0.035,440,0.9
10,600.0,1288,0.7,0.015,432,1.0
11,200.0,0,0.3,0.065,0,0.9
12,1000.0,1336,0.8,0.095,431,0.7
13,600.0,1514,0.8,0.025,525,1.0
14,400.0,805,0.6,0.065,221,0.7
15,600.0,1510,0.8,0.075,497,0.8
16,1000.0,1548,0.1,0.025,502,1.0
17,200.0,0,0.6,0.095,0,1.0
18,800.0,1144,0.3,0.035,441,0.9
19,400.0,823,0.1,0.025,222,0.7
20,600.0,1286,0.3,0.095,405,0.9
21,400.0,881,0.1,0.065,201,0.8
22,1000.0,1047,0.5,0.025,345,0.7
23,1000.0,1195,0.8,0.015,368,0.7
24,200.0,0,0.2,0.045,0,0.9
25,600.0,1527,0.5,0.065,492,0.9
26,200.0,0,0.6,0.105,0,0.7
27,200.0,0,0.2,0.085,0,0.8
28,800.0,1202,0.7,0.055,363,0.7
29,1000.0,1041,0.6,0.065,349,0.9
30,200.0,0,0.1,0.035,0,1.0
31,1000.0,1333,0.7,0.015,500,1.0
32,400.0,757,0.3,0.025,208,0.8
33,600.0,1214,0.2,0.075,415,0.8
34,1000.0,1080,0.6,0.095,342,0.9
35,600.0,1238,0.4,0.015,387,0.7
36,200.0,0,0.3,0.075,0,1.0
37,200.0,0,0.2,0.015,0,0.7
38,200.0,0,0.1,0.035,0,0.9
39,600.0,1088,0.8,0.095,313,0.8
40,600.0,1103,0.4,0.075,358,0.9
41,200.0,0,0.1,0.095,0,0.9
42,400.0,562,0.4,0.015,141,1.0
43,800.0,925,0.7,0.065,253,0.7
44,200.0,0,0.7,0.045,0,0.7
45,1000.0,916,0.4,0.035,287,1.0
46,1000.0,1117,0.4,0.085,361,0.7
47,1000.0,928,0.5,0.105,265,0.9
48,200.0,0,0.3,0.075,0,0.8
49,1000.0,775,0.8,0.025,250,0.9
50,1000.0,997,0.2,0.085,282,0.9
51,1000.0,1122,0.8,0.015,340,0.8
52,800.0,1102,0.4,0.045,261,1.0
53,1000.0,889,0.3,0.025,265,1.0
54,600.0,1288,0.7,0.015,381,0.9
55,1000.0,688,0.8,0.055,161,0.9
56,200.0,0,0.2,0.105,0,1.0
57,400.0,609,0.5,0.055,141,0.7
58,200.0,0,0.3,0.075,0,0.7
59,200.0,0,0.4,0.075,0,0.7
60,800.0,840,0.3,0.045,236,0.7
61,200.0,0,0.4,0.095,0,1.0
62,200.0,0,0.6,0.095,0,0.7
63,200.0,0,0.5,0.025,0,0.8
