,detected,gfsk_gain_mu,gfsk_omega_limit,processed,sensivity'
0,341,0.8,0.105,101,1.0
1,408,0.6,0.025,93,0.7
2,394,0.3,0.055,98,0.8
3,331,0.3,0.045,70,0.9
4,322,0.2,0.095,83,0.9
5,343,0.5,0.055,98,0.9
6,344,0.8,0.075,96,1.0
7,369,0.2,0.015,91,1.0
8,422,0.8,0.015,105,0.8
9,342,0.6,0.015,92,0.7
10,293,0.4,0.065,82,0.9
11,436,0.6,0.025,116,0.8
12,356,0.8,0.035,101,0.7
13,350,0.5,0.075,86,0.9
14,320,0.5,0.065,96,0.9
15,382,0.2,0.055,99,0.7
16,380,0.1,0.025,116,1.0
17,379,0.8,0.095,104,1.0
18,393,0.4,0.095,110,0.7
19,340,0.2,0.095,107,0.7
20,358,0.7,0.095,114,0.7
21,347,0.7,0.015,87,1.0
22,399,0.7,0.065,107,0.8
23,424,0.6,0.055,141,0.8
24,413,0.8,0.075,107,0.9
25,412,0.8,0.045,94,1.0
26,459,0.2,0.055,128,0.8
27,356,0.4,0.105,75,0.8
28,259,0.1,0.025,74,0.7
29,313,0.5,0.025,83,0.8
30,394,0.5,0.035,81,1.0
31,358,0.6,0.075,59,0.7
32,332,0.8,0.015,70,0.7
33,292,0.7,0.035,91,0.8
34,282,0.7,0.095,86,0.8
35,336,0.1,0.065,90,1.0
36,391,0.6,0.015,98,1.0
37,314,0.4,0.105,96,0.7
38,401,0.2,0.065,98,0.7
39,394,0.7,0.035,92,1.0
40,306,0.3,0.075,70,1.0
41,281,0.5,0.045,71,0.8
42,279,0.5,0.045,57,0.9
43,245,0.8,0.055,69,0.7
44,291,0.5,0.025,65,0.7
45,229,0.2,0.015,53,0.7
46,283,0.8,0.015,73,0.9
47,327,0.6,0.035,82,1.0
48,344,0.3,0.025,83,0.8
49,331,0.8,0.065,90,1.0
50,348,0.8,0.065,85,0.9
51,301,0.1,0.065,71,0.9
52,409,0.6,0.095,109,1.0
53,358,0.5,0.065,99,0.7
54,425,0.1,0.015,98,0.8
55,373,0.6,0.015,79,0.9
56,423,0.3,0.035,115,1.0
57,349,0.4,0.045,93,0.7
58,348,0.2,0.045,99,1.0
59,320,0.4,0.035,68,1.0
60,340,0.3,0.065,77,1.0
61,342,0.4,0.055,73,0.8
62,562,0.3,0.065,146,0.8
63,466,0.2,0.105,87,1.0
64,637,0.1,0.075,185,1.0
65,503,0.5,0.095,122,0.8
66,528,0.5,0.105,132,0.7
67,494,0.2,0.075,127,1.0
68,518,0.3,0.035,147,0.8
69,479,0.8,0.075,118,0.7
70,552,0.5,0.105,157,0.9
71,573,0.1,0.065,131,0.7
72,691,0.4,0.015,166,0.9
73,505,0.3,0.015,146,0.8
74,536,0.1,0.085,141,0.8
75,483,0.2,0.025,110,0.8
76,450,0.5,0.105,114,1.0
77,480,0.5,0.025,99,1.0
78,417,0.3,0.055,97,0.9
79,405,0.5,0.085,133,0.7
80,435,0.6,0.085,105,0.8
81,373,0.8,0.025,130,0.7
82,380,0.4,0.035,88,0.9
83,394,0.6,0.065,81,0.7
84,401,0.4,0.105,114,0.9
85,424,0.8,0.055,96,0.8
86,460,0.1,0.095,111,0.7
87,591,0.2,0.085,170,0.9
88,596,0.3,0.015,157,1.0
89,597,0.2,0.065,161,0.8
90,598,0.8,0.095,133,0.7
91,518,0.2,0.085,138,0.8
92,465,0.5,0.065,104,1.0
93,522,0.1,0.095,143,0.8
94,421,0.5,0.075,111,1.0
95,543,0.4,0.055,150,0.7
96,478,0.7,0.105,119,1.0
97,565,0.5,0.085,154,0.9
98,427,0.2,0.015,127,0.9
99,423,0.4,0.065,96,1.0
100,504,0.5,0.045,109,1.0
101,458,0.1,0.045,128,0.9
102,396,0.8,0.045,106,0.9
103,474,0.6,0.095,106,0.7
104,391,0.8,0.075,101,0.8
105,549,0.2,0.095,130,1.0
106,500,0.5,0.015,104,0.9
107,458,0.1,0.055,127,0.8
108,466,0.3,0.075,135,0.7
109,307,0.2,0.035,77,0.8
110,340,0.1,0.045,96,1.0
111,425,0.2,0.075,118,0.8
112,471,0.6,0.055,130,1.0
113,374,0.7,0.025,90,0.7
114,426,0.8,0.045,109,0.7
115,390,0.2,0.085,104,0.7
116,352,0.3,0.025,71,1.0
117,390,0.5,0.035,83,0.7
118,350,0.7,0.075,92,1.0
119,432,0.7,0.075,95,0.7
120,501,0.8,0.035,146,1.0
121,387,0.5,0.095,94,0.9
122,426,0.7,0.075,123,0.8
123,356,0.8,0.025,78,0.9
124,434,0.3,0.025,109,0.7
125,359,0.5,0.075,92,0.8
126,385,0.7,0.095,91,0.9
127,428,0.1,0.085,110,1.0
128,352,0.1,0.105,97,1.0
129,375,0.4,0.075,110,0.8
130,362,0.5,0.095,87,1.0
131,472,0.6,0.055,109,0.7
