,detected,gfsk_gain_mu,gfsk_omega_limit,processed,sensivity'
0,918,0.8,0.105,241,1.0
1,961,0.8,0.025,323,0.8
2,978,0.6,0.045,294,0.7
3,1066,0.4,0.025,325,0.8
4,1086,0.6,0.025,325,0.8
5,1003,0.5,0.055,310,0.7
6,1343,0.1,0.085,466,1.0
7,1124,0.4,0.045,348,1.0
8,1038,0.5,0.045,273,0.9
9,947,0.5,0.035,286,0.9
10,1082,0.3,0.095,306,0.7
11,1245,0.3,0.085,432,0.8
12,1160,0.6,0.065,387,0.7
13,1043,0.8,0.105,371,0.7
14,1023,0.7,0.105,314,0.7
15,974,0.3,0.105,325,0.9
16,1119,0.7,0.055,314,0.8
17,1001,0.3,0.085,281,1.0
18,959,0.1,0.095,277,1.0
19,1024,0.8,0.035,302,1.0
20,1270,0.5,0.015,445,0.7
21,1110,0.6,0.055,376,1.0
22,1056,0.3,0.095,329,1.0
23,1121,0.2,0.025,328,1.0
